1775001600000000,68284.49000000,69310.00000000,67578.75000000,68692.00000000,7483.84687000,1775030399999999,511843487.60938060,1194093,3923.38523000,268333985.51372990,0
1775030400000000,68692.00000000,68965.00000000,67918.83000000,68918.52000000,7578.70025000,1775059199999999,519281438.71682250,1429426,3965.12159000,271745244.57182890,0
1775059200000000,68918.52000000,69171.77000000,67939.28000000,68113.92000000,3957.64278000,1775087999999999,270583300.74832120,1118391,1813.99162000,124046803.84135440,0
1775088000000000,68113.92000000,68653.38000000,66217.07000000,66930.79000000,7284.90699000,1775116799999999,488364187.19604970,1520225,3798.56126000,254617826.00945440,0
1775116800000000,66930.79000000,67104.86000000,65712.12000000,66852.91000000,7823.63595000,1775145599999999,519658641.07229220,1585470,4066.56719000,270124650.65672070,0
1775145600000000,66852.91000000,67430.99000000,66596.80000000,66901.99000000,5094.93622000,1775174399999999,341200633.25871530,1083438,2225.52775000,149072987.20957540,0
1775174400000000,66901.99000000,67247.38000000,66282.00000000,67042.08000000,5081.79588000,1775203199999999,338908841.97645260,863247,2242.47982000,149565718.72579300,0
1775203200000000,67042.08000000,67370.42000000,66508.10000000,66827.15000000,3798.58794000,1775231999999999,254133793.89855800,790038,1980.73220000,132511461.16614240,0
1775232000000000,66827.15000000,67069.00000000,66751.86000000,66964.30000000,2548.74749000,1775260799999999,170492971.10277750,369819,1312.05786000,87782229.43078230,0
1775260800000000,66964.29000000,67052.99000000,66775.91000000,67014.96000000,2531.48404000,1775289599999999,169388884.26424670,382427,1211.62654000,81077154.04294730,0
1775289600000000,67014.95000000,67562.93000000,66918.00000000,67383.66000000,2854.61512000,1775318399999999,191674648.41595680,501215,1485.34047000,99753034.91967210,0
1775318400000000,67383.66000000,67543.60000000,67186.62000000,67300.42000000,1987.41697000,1775347199999999,133868484.74304070,472537,1004.36231000,67659691.03328300,0
1775347200000000,67300.42000000,67307.28000000,66611.66000000,66820.64000000,3120.29836000,1775375999999999,209001642.29240960,397443,1431.67161000,95876817.55355940,0
1775376000000000,66820.64000000,67856.16000000,66680.57000000,67306.64000000,3798.84425000,1775404799999999,254910724.11054880,653158,1771.66925000,118912027.99858190,0
1775404800000000,67306.65000000,69136.20000000,67173.40000000,69034.18000000,4814.32491000,1775433599999999,327749610.92049190,1055656,2588.21606000,176302626.58647090,0
1775433600000000,69034.18000000,69588.00000000,68776.61000000,69115.91000000,7317.74282000,1775462399999999,505949506.03858520,1388464,3705.46784000,256242703.35634450,0
1775462400000000,69115.91000000,70283.32000000,69081.88000000,69968.87000000,7408.40671000,1775491199999999,515950760.32532910,1769472,3943.51948000,274648439.81853130,0
1775491200000000,69968.87000000,70351.46000000,68300.00000000,68853.66000000,5555.46091000,1775519999999999,386119906.73224840,1537587,2500.80525000,173906658.46352340,0
1775520000000000,68853.66000000,69128.20000000,68273.34000000,68624.61000000,4245.95140000,1775548799999999,291693984.14117170,1134668,2045.96764000,140558222.51784300,0
1775548800000000,68624.60000000,69247.90000000,67732.01000000,68168.10000000,6314.87970000,1775577599999999,431500328.70548450,1480646,3191.03274000,218111781.49869670,0
1775577600000000,68168.11000000,72761.00000000,68085.01000000,71924.22000000,13189.66551000,1775606399999999,926443542.99604070,2256392,7228.18233000,508060085.21450370,0
1775606400000000,71924.22000000,72110.65000000,71240.99000000,71627.59000000,6668.02081000,1775635199999999,477692982.95465680,989170,2878.67826000,206229298.74969130,0
1775635200000000,71627.59000000,72857.00000000,70707.23000000,71310.00000000,9030.68869000,1775663999999999,647728640.17778040,1669724,4806.17139000,344819489.34149910,0
1775664000000000,71309.99000000,71963.94000000,70901.89000000,71069.93000000,4103.97677000,1775692799999999,293062564.91968660,1185094,1885.35224000,134617488.74764040,0
1775692800000000,71069.93000000,71198.80000000,70466.00000000,70982.01000000,4906.68053000,1775721599999999,348044817.33817350,899253,2547.88714000,180771547.51512220,0
1775721600000000,70982.01000000,72358.00000000,70522.77000000,72141.99000000,5827.08500000,1775750399999999,415867962.37737860,1340734,3170.06449000,226317997.21481160,0
1775750400000000,72142.00000000,73145.00000000,71585.25000000,71787.97000000,7424.65606000,1775779199999999,536411036.29378400,1533038,3886.36608000,280900706.31323320,0
1775779200000000,71787.98000000,72387.00000000,71428.00000000,71481.85000000,5000.14279000,1775807999999999,359655686.53692790,938396,2207.93595000,158831161.73368930,0
1775808000000000,71481.85000000,73289.96000000,71426.15000000,72460.51000000,6659.08529000,1775836799999999,482458077.35826100,1310445,3506.73797000,254195635.12197940,0
1775836800000000,72460.52000000,73434.00000000,72387.41000000,72962.70000000,5713.40480000,1775865599999999,417081872.16047410,927467,3105.07449000,226679105.64572760,0
1775865600000000,72962.71000000,73094.89000000,72612.16000000,72745.38000000,3069.59357000,1775894399999999,223534858.88123740,396990,1615.75774000,117655919.09166390,0
1775894400000000,72745.38000000,72982.40000000,72513.09000000,72858.17000000,2038.87706000,1775923199999999,148346761.24974490,376428,1040.47644000,75711072.89451860,0
1775923200000000,72858.18000000,73790.00000000,72812.94000000,73043.16000000,3962.47311000,1775951999999999,290555493.57868790,698623,2017.24187000,147902018.00685930,0
1775952000000000,73043.16000000,73137.24000000,71310.00000000,71665.00000000,6061.84636000,1775980799999999,435704779.60579610,865983,2692.31108000,193417602.01838550,0
1775980800000000,71664.99000000,71805.85000000,70604.07000000,70892.03000000,4142.13790000,1776009599999999,295204663.90712510,540737,1798.59988000,128199437.15264360,0
1776009600000000,70892.04000000,71452.00000000,70505.88000000,70740.98000000,3268.48375000,1776038399999999,231916448.30366990,662059,1835.40193000,130236848.63999180,0
1776038400000000,70741.56000000,71271.78000000,70615.30000000,70813.88000000,4560.74869000,1776067199999999,323683904.39011650,685661,2562.66143000,181887716.30471750,0
1776067200000000,70813.88000000,72464.28000000,70566.99000000,71866.59000000,6468.49388000,1776095999999999,462434910.86310930,1178502,3251.73210000,232476870.34379060,0
1776096000000000,71866.59000000,74900.00000000,71679.80000000,74417.99000000,13200.97368000,1776124799999999,967251502.93094010,1809376,6825.40552000,500419187.20267050,0
1776124800000000,74418.00000000,74924.64000000,73954.86000000,74546.00000000,6979.88266000,1776153599999999,519217508.10835630,851517,3118.00929000,231975602.12833180,0
1776153600000000,74545.99000000,76038.00000000,74277.19000000,75317.07000000,12477.17572000,1776182399999999,936958003.38262530,1735074,6983.05559000,524634645.72669340,0
1776182400000000,75317.06000000,75688.00000000,73795.47000000,74131.55000000,7075.88618000,1776211199999999,526553478.11623830,1446857,3212.82468000,239084193.14396410,0
1776211200000000,74131.55000000,74786.72000000,73514.00000000,73730.43000000,5216.15597000,1776239999999999,386881983.67433070,831515,2409.36823000,178719587.39224220,0
1776240000000000,73730.43000000,74506.84000000,73580.85000000,73844.08000000,4634.53433000,1776268799999999,343312884.42277360,1179656,2336.28074000,173090552.85247570,0
1776268800000000,73844.07000000,75425.00000000,73762.89000000,74809.99000000,4574.35137000,1776297599999999,341253744.43991760,1176621,2268.37084000,169302124.92644790,0
1776297600000000,74809.99000000,75267.85000000,74451.49000000,74707.03000000,4123.40371000,1776326399999999,308860672.47358800,874111,1981.06766000,148399962.50128620,0
1776326400000000,74707.02000000,75030.39000000,73309.85000000,74697.19000000,7897.29729000,1776355199999999,586882091.78388500,1392610,4003.67680000,297684027.45764680,0
1776355200000000,74697.20000000,75534.76000000,73912.23000000,75154.29000000,5067.98677000,1776383999999999,379151359.49213840,1315169,2616.95348000,195866297.28928600,0
1776384000000000,75154.28000000,75154.77000000,74529.40000000,75074.77000000,3500.35983000,1776412799999999,261912062.60190160,584828,1638.52748000,122611777.81021270,0
1776412800000000,75074.76000000,78052.49000000,74993.24000000,77785.02000000,16823.44153000,1776441599999999,1290036880.53072930,2896424,9950.05281000,763301399.92983260,0
1776441600000000,77785.03000000,78333.00000000,76911.00000000,77072.00000000,5617.56558000,1776470399999999,435394265.70803910,1449915,2846.89701000,220674183.26449420,0
1776470400000000,77072.01000000,77420.08000000,76884.10000000,76997.80000000,2254.33614000,1776499199999999,173894073.03165930,485970,1117.95715000,86255603.25121200,0
1776499200000000,76997.79000000,77048.00000000,75763.76000000,76167.34000000,4342.72961000,1776527999999999,331290406.87782380,892659,1999.46073000,152497689.83734450,0
1776528000000000,76167.33000000,76211.57000000,75445.16000000,75691.76000000,2544.77881000,1776556799999999,192824088.02452420,562483,1216.36574000,92164819.46340980,0
1776556800000000,75691.76000000,75847.42000000,74867.72000000,75252.34000000,2632.54987000,1776585599999999,198578122.24609070,558377,1205.87812000,90963927.01921390,0
1776585600000000,75252.33000000,76240.66000000,74921.74000000,75846.63000000,4307.58508000,1776614399999999,325814711.74257160,889486,2332.79047000,176425713.86406090,0
1776614400000000,75846.63000000,75853.26000000,73762.90000000,73801.79000000,4429.68737000,1776643199999999,330522536.45212920,1291888,1919.95016000,143264846.16935760,0
1776643200000000,73801.80000000,75572.00000000,73724.31000000,74837.17000000,4978.98973000,1776671999999999,371172481.81812070,904617,2631.41118000,196211351.76813320,0
1776672000000000,74837.18000000,75772.72000000,74619.41000000,75716.77000000,5363.64137000,1776700799999999,403354434.48830180,1570568,2820.24636000,212130740.35205820,0
1776700800000000,75716.78000000,76558.62000000,75289.92000000,75840.97000000,6650.77924000,1776729599999999,505976998.06465260,1088406,3361.04355000,255727083.84552750,0
1776729600000000,75840.97000000,76300.00000000,75474.77000000,76084.34000000,3839.21833000,1776758399999999,291555738.21455160,717075,2125.10250000,161431509.59745460,0
1776758400000000,76084.34000000,76927.57000000,75430.62000000,75834.65000000,6258.14117000,1776787199999999,476752015.95324660,1465866,3061.74172000,233315990.69625110,0
1776787200000000,75834.66000000,76425.37000000,74821.57000000,76336.15000000,4815.21182000,1776815999999999,363810518.39051290,1433272,2486.11866000,187912154.62014910,0
1776816000000000,76336.14000000,78452.18000000,76132.95000000,78012.79000000,7818.98211000,1776844799999999,606462863.27495810,1337811,4268.10648000,330877322.79247060,0
1776844800000000,78012.78000000,79400.00000000,77941.59000000,79272.90000000,7782.27453000,1776873599999999,611516884.34807670,1473530,4390.81966000,345084892.93188650,0
1776873600000000,79272.91000000,79472.82000000,78155.83000000,78178.23000000,4136.25561000,1776902399999999,325752337.92329900,945736,1717.19820000,135350951.34600990,0
1776902400000000,78178.22000000,78574.44000000,77453.43000000,78048.62000000,5194.40295000,1776931199999999,405402414.06774290,1072061,2449.65180000,191271102.01170090,0
1776931200000000,78048.61000000,78662.50000000,77174.01000000,78376.76000000,6726.12741000,1776959999999999,522997062.91208100,1280862,3215.40727000,249996016.01331260,0
1776960000000000,78376.77000000,78509.82000000,76960.00000000,78257.48000000,5050.26465000,1776988799999999,392950221.37442220,1218873,2095.69665000,163055016.28279600,0
1776988800000000,78257.48000000,78581.93000000,77457.00000000,77644.60000000,4057.22133000,1777017599999999,316163062.22456860,711354,2003.20669000,156191625.93427330,0
1777017600000000,77644.59000000,78479.37000000,77402.01000000,78038.62000000,5769.23972000,1777046399999999,449697065.93473900,1202494,2794.01202000,217756832.58933430,0
