1767218400000,87799.97000000,87828.24000000,87768.15000000,87828.23000000,47.25477000
1767219300000,87828.24000000,87879.04000000,87802.92000000,87854.51000000,85.45042000
1767220200000,87854.50000000,87854.51000000,87691.85000000,87733.98000000,57.82991000
1767221100000,87733.98000000,87776.58000000,87656.19000000,87728.29000000,45.65187000
1767222000000,87728.30000000,87728.30000000,87656.29000000,87689.75000000,57.11681000
1767222900000,87689.76000000,87698.02000000,87619.67000000,87675.44000000,57.23590000
1767223800000,87675.44000000,87690.02000000,87650.27000000,87685.31000000,31.88983000
1767224700000,87685.31000000,87697.40000000,87641.14000000,87648.22000000,44.94869000
1767225600000,87648.21000000,87816.00000000,87632.74000000,87742.61000000,86.09755000
1767226500000,87742.62000000,87776.19000000,87742.61000000,87776.18000000,24.11371000
1767227400000,87776.19000000,87776.19000000,87733.98000000,87748.89000000,51.85067000
1767228300000,87748.89000000,87849.26000000,87748.88000000,87809.23000000,71.59843000
1767229200000,87809.24000000,88013.00000000,87809.23000000,88000.00000000,104.72793000
1767230100000,88000.01000000,88050.00000000,87875.22000000,87875.22000000,59.29417000
1767231000000,87875.23000000,87900.00000000,87841.99000000,87886.00000000,28.63976000
1767231900000,87885.99000000,88015.89000000,87883.12000000,87960.00000000,48.77976000
1767232800000,87960.01000000,88025.19000000,87901.83000000,87990.52000000,34.46136000
1767233700000,87990.52000000,88088.10000000,87939.68000000,87957.63000000,66.05655000
1767234600000,87957.63000000,88052.60000000,87945.79000000,87954.16000000,54.57484000
1767235500000,87954.17000000,87961.52000000,87895.37000000,87914.00000000,54.46585000
1767236400000,87914.00000000,87984.26000000,87887.28000000,87984.25000000,46.05381000
1767237300000,87984.26000000,88015.70000000,87900.12000000,87930.65000000,40.65505000
1767238200000,87930.65000000,87952.71000000,87904.00000000,87937.24000000,21.18836000
1767239100000,87937.25000000,87937.25000000,87832.09000000,87846.02000000,41.18632000
1767240000000,87846.01000000,87854.81000000,87641.13000000,87650.01000000,57.61501000
1767240900000,87650.01000000,87701.74000000,87552.56000000,87632.26000000,108.63589000
1767241800000,87632.26000000,87670.07000000,87550.43000000,87550.48000000,184.03778000
1767242700000,87550.48000000,87657.56000000,87550.48000000,87590.40000000,125.89033000
1767243600000,87590.41000000,87723.74000000,87590.40000000,87694.61000000,49.67702000
1767244500000,87694.61000000,87724.84000000,87658.00000000,87708.11000000,65.55301000
1767245400000,87708.11000000,87749.34000000,87639.63000000,87700.00000000,142.93002000
1767246300000,87700.01000000,87720.00000000,87697.93000000,87704.39000000,25.01431000
1767247200000,87704.39000000,87704.39000000,87636.29000000,87648.18000000,56.67438000
1767248100000,87648.19000000,87663.87000000,87648.18000000,87656.80000000,22.58341000
1767249000000,87656.80000000,87669.10000000,87656.79000000,87658.77000000,32.24436000
1767249900000,87658.78000000,87658.78000000,87658.00000000,87658.00000000,12.39441000
1767250800000,87658.01000000,87672.20000000,87596.00000000,87642.00000000,41.81557000
1767251700000,87642.00000000,87665.78000000,87605.67000000,87605.68000000,26.68763000
1767252600000,87605.68000000,87667.92000000,87605.67000000,87642.01000000,90.36557000
1767253500000,87642.01000000,87673.01000000,87610.60000000,87631.88000000,66.40615000
1767254400000,87631.88000000,87811.13000000,87631.87000000,87750.39000000,121.91335000
1767255300000,87750.40000000,87773.40000000,87711.97000000,87739.53000000,44.70485000
1767256200000,87739.53000000,87778.95000000,87700.15000000,87700.17000000,96.10356000
1767257100000,87700.17000000,87770.90000000,87700.16000000,87770.90000000,22.49569000
1767258000000,87770.89000000,87849.27000000,87751.82000000,87849.26000000,44.99246000
1767258900000,87849.26000000,87965.25000000,87820.84000000,87836.02000000,98.25612000
1767259800000,87836.01000000,87876.20000000,87836.01000000,87876.20000000,18.33659000
1767260700000,87876.20000000,87878.00000000,87865.55000000,87877.99000000,48.64446000
1767261600000,87877.99000000,87883.80000000,87871.42000000,87872.43000000,56.09412000
1767262500000,87872.42000000,87872.43000000,87799.17000000,87851.26000000,25.40594000
1767263400000,87851.26000000,87856.59000000,87840.00000000,87840.01000000,19.33634000
1767264300000,87840.00000000,87880.00000000,87840.00000000,87863.76000000,27.23740000
1767265200000,87863.75000000,87966.71000000,87859.36000000,87940.00000000,49.24447000
1767266100000,87940.00000000,87983.22000000,87926.18000000,87926.18000000,49.60920000
1767267000000,87926.19000000,87953.61000000,87880.00000000,87915.12000000,52.77618000
1767267900000,87915.11000000,88024.64000000,87915.11000000,88024.64000000,44.67420000
1767268800000,88024.64000000,88036.42000000,87983.56000000,88003.79000000,49.98468000
1767269700000,88003.80000000,88035.29000000,87951.51000000,88004.81000000,52.65496000
1767270600000,88004.81000000,88004.82000000,87925.28000000,87979.26000000,44.73965000
1767271500000,87979.26000000,87988.59000000,87950.00000000,87950.00000000,52.75627000
1767272400000,87950.00000000,87991.98000000,87892.00000000,87990.05000000,26.48595000
1767273300000,87990.05000000,88019.82000000,87964.76000000,87987.10000000,38.11389000
1767274200000,87987.11000000,87989.00000000,87951.28000000,87989.00000000,25.07212000
1767275100000,87988.99000000,87988.99000000,87860.66000000,87922.64000000,66.05687000
1767276000000,87922.63000000,87964.00000000,87827.49000000,87957.54000000,158.97103000
1767276900000,87957.54000000,87966.71000000,87850.00000000,87872.25000000,100.34875000
1767277800000,87872.24000000,87911.72000000,87810.66000000,87911.71000000,89.85109000
1767278700000,87911.71000000,87970.59000000,87892.20000000,87967.05000000,40.84444000
1767279600000,87967.05000000,87983.57000000,87916.39000000,87983.57000000,52.43118000
1767280500000,87983.57000000,88081.00000000,87974.78000000,88007.12000000,67.99654000
1767281400000,88007.12000000,88113.45000000,87944.95000000,88020.37000000,92.22002000
1767282300000,88020.37000000,88092.54000000,87987.46000000,88032.18000000,47.36460000
1767283200000,88032.17000000,88048.70000000,87914.37000000,87943.53000000,82.20205000
1767284100000,87943.52000000,87958.00000000,87879.03000000,87954.34000000,40.96062000
1767285000000,87954.34000000,87992.37000000,87940.52000000,87940.59000000,29.19509000
1767285900000,87940.59000000,87988.77000000,87940.59000000,87988.76000000,37.63700000
1767286800000,87988.77000000,88075.00000000,87976.00000000,88053.83000000,30.95284000
1767287700000,88053.83000000,88272.00000000,88040.00000000,88255.49000000,113.48620000
1767288600000,88255.48000000,88500.00000000,88255.48000000,88347.69000000,191.79594000
1767289500000,88347.68000000,88450.00000000,88289.99000000,88316.37000000,139.85056000
1767290400000,88316.38000000,88364.00000000,88170.38000000,88170.38000000,111.06472000
1767291300000,88170.38000000,88259.87000000,88105.08000000,88105.08000000,80.55541000
1767292200000,88105.08000000,88179.96000000,88105.08000000,88175.29000000,35.51056000
1767293100000,88175.29000000,88213.22000000,88156.90000000,88193.94000000,30.46097000
1767294000000,88193.94000000,88193.95000000,88062.32000000,88110.78000000,79.49727000
1767294900000,88110.78000000,88169.03000000,88110.78000000,88166.75000000,24.63426000
1767295800000,88166.75000000,88336.86000000,88166.75000000,88330.68000000,48.24424000
1767296700000,88330.68000000,88431.23000000,88304.07000000,88391.15000000,64.28726000
1767297600000,88391.16000000,88391.16000000,88307.27000000,88337.59000000,41.83139000
1767298500000,88337.60000000,88365.20000000,88317.09000000,88364.33000000,27.82466000
1767299400000,88364.33000000,88364.34000000,88240.00000000,88241.73000000,42.27720000
1767300300000,88241.73000000,88280.94000000,88241.72000000,88258.12000000,23.46202000
1767301200000,88258.12000000,88447.84000000,88254.08000000,88387.32000000,49.96855000
1767302100000,88387.31000000,88399.37000000,88360.00000000,88377.04000000,32.01300000
1767303000000,88377.05000000,88397.04000000,88326.23000000,88326.24000000,52.14433000
1767303900000,88326.24000000,88398.06000000,88297.15000000,88377.67000000,34.44617000
1767304800000,88377.67000000,88594.62000000,88377.67000000,88516.19000000,207.00168000
