1777593600000000,76346.58000000,76514.00000000,76320.42000000,76469.81000000,186.868
1777594500000000,76469.80000000,76578.00000000,76469.80000000,76531.81000000,56.4699
1777595400000000,76531.82000000,76560.00000000,76458.00000000,76528.37000000,203.332
1777596300000000,76528.37000000,76591.00000000,76402.91000000,76458.05000000,56.2185
1777597200000000,76458.06000000,76589.34000000,76449.50000000,76564.00000000,66.5726
1777598100000000,76564.00000000,76630.00000000,76530.01000000,76536.81000000,107.552
1777599000000000,76536.81000000,76640.64000000,76536.81000000,76618.08000000,202.523
1777599900000000,76618.07000000,76776.21000000,76615.97000000,76686.13000000,110.198
1777600800000000,76686.12000000,76744.60000000,76622.21000000,76674.82000000,91.8405
1777601700000000,76674.82000000,76729.70000000,76610.10000000,76628.90000000,40.5789
1777602600000000,76628.90000000,76639.95000000,76564.58000000,76596.02000000,28.2861
1777603500000000,76596.01000000,76615.01000000,76533.74000000,76592.54000000,43.7489
1777604400000000,76592.54000000,76700.84000000,76555.06000000,76698.98000000,40.527
1777605300000000,76698.97000000,77453.74000000,76698.97000000,77198.27000000,735.922
1777606200000000,77198.27000000,77285.79000000,77082.32000000,77158.40000000,222.159
1777607100000000,77158.40000000,77208.00000000,77072.09000000,77131.08000000,57.5908
1777608000000000,77131.08000000,77176.00000000,77068.18000000,77116.28000000,84.2827
1777608900000000,77116.28000000,77206.38000000,76653.60000000,77012.35000000,743.477
1777609800000000,77012.35000000,77083.98000000,76997.11000000,77081.86000000,60.0459
1777610700000000,77081.86000000,77104.22000000,77018.64000000,77042.44000000,107.953
1777611600000000,77042.44000000,77184.96000000,77033.91000000,77140.27000000,76.6564
1777612500000000,77140.27000000,77141.26000000,77054.65000000,77079.96000000,40.2471
1777613400000000,77079.97000000,77137.60000000,77058.41000000,77125.00000000,119.183
1777614300000000,77125.00000000,77176.67000000,77115.85000000,77165.98000000,47.6645
1777615200000000,77165.99000000,77176.67000000,77087.57000000,77145.49000000,43.4661
1777616100000000,77145.49000000,77179.53000000,77112.06000000,77150.04000000,44.0871
1777617000000000,77150.04000000,77170.00000000,76956.20000000,77066.00000000,208.372
1777617900000000,77066.00000000,77112.54000000,76882.00000000,76993.48000000,143.227
1777618800000000,76993.49000000,77094.00000000,76970.23000000,77038.90000000,56.4081
1777619700000000,77038.90000000,77106.50000000,76994.11000000,77004.14000000,201.899
1777620600000000,77004.13000000,77049.82000000,76957.04000000,76996.88000000,209.153
1777621500000000,76996.87000000,77140.36000000,76996.74000000,77130.54000000,166.272
1777622400000000,77130.54000000,77250.00000000,77048.00000000,77250.00000000,208.09
1777623300000000,77249.99000000,77500.00000000,77227.75000000,77440.73000000,361.796
1777624200000000,77440.74000000,77457.99000000,77361.82000000,77370.66000000,82.6063
1777625100000000,77370.67000000,77382.46000000,77358.15000000,77377.47000000,45.2434
1777626000000000,77377.48000000,77391.99000000,77289.18000000,77338.73000000,95.8722
1777626900000000,77338.74000000,77377.91000000,77299.34000000,77346.80000000,92.6073
1777627800000000,77346.81000000,77346.81000000,77275.23000000,77279.94000000,92.5051
1777628700000000,77279.94000000,77279.94000000,77200.15000000,77268.55000000,74.1809
1777629600000000,77268.56000000,77268.56000000,77146.48000000,77159.42000000,62.2302
1777630500000000,77159.41000000,77433.72000000,77159.41000000,77349.10000000,148.51
1777631400000000,77349.11000000,77361.77000000,77251.00000000,77251.01000000,45.6744
1777632300000000,77251.00000000,77305.39000000,77251.00000000,77304.34000000,74.5774
1777633200000000,77303.80000000,77331.00000000,77263.66000000,77324.48000000,161.084
1777634100000000,77324.48000000,77600.00000000,77307.50000000,77382.63000000,244.961
1777635000000000,77382.64000000,77429.80000000,77344.78000000,77412.88000000,99.9406
1777635900000000,77412.88000000,77474.01000000,77344.78000000,77463.98000000,78.3941
1777636800000000,77463.98000000,77677.77000000,77408.73000000,77553.65000000,178.535
1777637700000000,77553.64000000,77799.48000000,77550.72000000,77763.04000000,247.318
1777638600000000,77763.04000000,78170.20000000,77760.53000000,77959.08000000,733.689
1777639500000000,77959.08000000,78042.37000000,77896.00000000,77896.01000000,233.436
1777640400000000,77896.01000000,78430.20000000,77896.00000000,78344.38000000,471.783
1777641300000000,78344.37000000,78399.72000000,78260.35000000,78279.65000000,269.387
1777642200000000,78279.65000000,78539.25000000,78137.36000000,78259.08000000,736.868
1777643100000000,78259.07000000,78914.12000000,78190.00000000,78737.25000000,876.303
1777644000000000,78737.26000000,78871.80000000,78599.00000000,78681.20000000,818.099
1777644900000000,78681.20000000,78718.00000000,78145.82000000,78275.86000000,467.935
1777645800000000,78275.87000000,78295.02000000,78051.86000000,78196.74000000,435.513
1777646700000000,78196.74000000,78449.96000000,78146.32000000,78358.75000000,249.155
1777647600000000,78358.74000000,78474.22000000,78176.06000000,78460.94000000,216.146
